step,time,phase,A_vz,B_vz,C_vz,D_vz,B_omega,D_omega,D_dm_vel,D_mean_bracket,D_bracket_coupling,coupling_signal
0,0,1,0,0.0000000000469229818092990990,0,0.0000000000469229810365455990,5235.990347376049,5235.990347376049,0.0000000000000000000346257531,0.0000000000029600192418377324,0.0000000000029600192418377324,-0.0000000000000000007727535000
1000,0.0009999999999999999547481000,1,0,0.0000000719230990782150105028,0,0.0000000719230991847128099028,5235.47645235902,5235.47645235902,0.0000000000000000000346928623,0.0000000000024049283770140541,0.0000000000024049283770140541,0.0000000000000001064977994000
2000,0.0019999999999999999094962000,1,0,0.0000001444553541294622394929,0,0.0000001444553542641412966929,5235.476452354788,5235.476452354788,0.0000000000000000000349248303,0.0000000000024473936928269731,0.0000000000024473936928269731,0.0000000000000001346790572000
3000,0.0029999999999999998642443000,1,0,0.0000002090873951240397752475,0,0.0000002090873956493368096475,5235.476452354788,5235.476452354788,0.0000000000000000000350395908,0.0000000000024921845946276494,0.0000000000024921845946276494,0.0000000000000005252970344000
4000,0.0039999999999999998189924000,1,0,0.0000002681327563675476702184,0,0.0000002681327571635965896184,5235.476452354788,5235.476452354788,0.0000000000000000000347390503,0.0000000000025433874415849784,0.0000000000025433874415849784,0.0000000000000007960489194000
5000,0.0049999999999999997737405000,1,0,0.0000003304561318679882369210,0,0.0000003304561329336051040210,5235.476452354788,5235.476452354788,0.0000000000000000000347507225,0.0000000000025915164375588882,0.0000000000025915164375588882,0.0000000000000010656168671000
6000,0.0059999999999999997284886000,2,0,0.0000003977111246520907975210,0,0.0000003977111260410142619210,5225.8336756945555,5225.8336756945555,0.0000000000000000000348393706,0.0000000000026296609031721757,0.0000000000026296609031721757,0.0000000000000013889234644000
7000,0.0069999999999999996832367000,3,0.0019990000000000000204979533,0.0019994676680364160892949180,0.0019990000000000000204979533,0.0019994676680384836744561180,5216.208659240596,5216.208659240596,0.0000000000000000000347522139,0.0000000000026736304347210541,0.0000000000026736304347210541,0.0000000000000020675851612000
8000,0.0079999999999999996379848000,3,0.0039990000000000000409532899,0.0039995363786451575092479243,0.0039990000000000000409532899,0.0039995363786487261399454243,5206.601370281892,5206.601370281892,0.0000000000000000000348789465,0.0000000000027142606621412635,0.0000000000027142606621412635,0.0000000000000035686306975000
9000,0.0089999999999999995927329000,3,0.0059990000000000000613069265,0.0059995970536515898169851978,0.0059990000000000000613069265,0.0059995970536554804052405978,5197.011776167697,5197.011776167697,0.0000000000000000000348508923,0.0000000000027553544306625977,0.0000000000027553544306625977,0.0000000000000038905882554000
10000,0.0099999999999999995474810000,3,0.0079990000000000000815101631,0.0079996530148566404432896695,0.0079990000000000000815101631,0.0079996530148598457266043695,5187.439844307378,5187.439844307378,0.0000000000000000000343098767,0.0000000000028030237994485794,0.0000000000028030237994485794,0.0000000000000032052833147000
11000,0.0109999999999999995022291000,3,0.0099990000000000001015139997,0.0099997120725135857936731767,0.0099990000000000001015139997,0.0099997120725169479307286767,5177.885542170375,5177.885542170375,0.0000000000000000000342085806,0.0000000000028446344290087133,0.0000000000028446344290087133,0.0000000000000033621370555000
12000,0.0119999999999999994569772000,4,0.0100000000000000001007717830,0.0100007748739444395376324527,0.0100000000000000001007717830,0.0100007748739486703680844527,5168.3488372859665,5168.3488372859665,0.0000000000000000000342250721,0.0000000000028867997139716873,0.0000000000028867997139716873,0.0000000000000042308304520000
13000,0.0129999999999999994117253000,5,0.0100000000000000000997751830,0.0100008384753741903839729287,0.0100000000000000000997751830,0.0100008384753784583833820287,5066.7389701815855,5066.7389701815855,0.0000000000000000000329364560,0.0000000000028226125808287127,0.0000000000028226125808287127,0.0000000000000042679994091000
14000,0.0139999999999999993664734000,5,0.0100000000000000000985344830,0.0100008965817093113004443191,0.0100000000000000000985344830,0.0100008965817134829433030191,4965.316249607967,4965.316249607967,0.0000000000000000000320137484,0.0000000000027501727023357980,0.0000000000027501727023357980,0.0000000000000041716428587000
15000,0.0149999999999999993212215000,5,0.0100000000000000000970498830,0.0100009444489088256098044227,0.0100000000000000000970498830,0.0100009444489141546102500227,4864.080330875904,4864.080330875904,0.0000000000000000000303722634,0.0000000000026832618805078466,0.0000000000026832618805078466,0.0000000000000053290004456000
16000,0.0159999999999999992759696000,5,0.0100000000000000000953214830,0.0100009930107046896745928118,0.0100000000000000000953214830,0.0100009930107091242113062118,4763.03086993105,4763.03086993105,0.0000000000000000000290464691,0.0000000000026093618308889770,0.0000000000026093618308889770,0.0000000000000044345367134000
17000,0.0169999999999999992307177000,5,0.0100000000000000000933495830,0.0100010468725183440519628906,0.0100000000000000000933495830,0.0100010468725224987893386906,4662.167523352757,4662.167523352757,0.0000000000000000000278985983,0.0000000000025359893967464339,0.0000000000025359893967464339,0.0000000000000041547373758000
